UF;DESTINO;TIPO;Índice Geral;Infraestrutura;Acesso;Serviço e Equipamento;Atrativos;Marketing;Políticas Públicas;Cooperação Regional;Monitoramento;Economia Local;Capacidade Empresarial;Aspectos Sociais;Aspectos Ambientais
GO;Alto Paraíso de Goiás;Não capital;45,2;62,9;42,9;36,7;61;31,1;50,8;45,9;20,4;37,3;24,5;51,2;52
RJ;Angra dos Reis;Não capital;59,9;63;60,3;62,6;62,9;49,4;60,4;33,3;13,4;75;63,1;56,1;75,9
SE;Aracaju;Capital;64;81,3;70;67,8;57,6;47,9;60,4;59,2;33;64,5;86,8;54,3;70,7
CE;Aracati;Não capital;48;58,1;40,4;41,8;58,3;35;49,8;35;18,6;52,8;45,2;57,5;55,1
RJ;Armação dos Búzios;Não capital;52;56,8;44,2;61,5;58;46,8;63,1;32,3;14,3;62,8;57,6;43,2;75,6
SC;Balneário Camboriú;Não capital;70,5;79,5;73,2;70,8;65;62,8;64,5;66;67,8;64,3;68,1;85,6;77,1
AM;Barcelos;Não capital;35;54,8;32,3;28,7;50,9;7,2;39;19,1;0;36,9;24,2;44,9;50,2
MA;Barreirinhas;Não capital;43,1;61,1;32,7;40,1;55,7;30;54,1;49,1;0;36,2;43,7;39,7;62,9
PA;Belém;Capital;63,8;64,6;77,8;69,8;71,4;43,7;48,9;50,5;15,8;68,9;86,9;62;57,1
MG;Belo Horizonte;Capital;79,2;82,5;79,6;86,6;68,7;86,3;78,4;58,3;80,3;87;94,8;70,3;79,3
RS;Bento Gonçalves;Não capital;72,9;76,8;70,3;77,7;67;85,6;67,7;89,9;46,5;84,6;70;80,1;60
RR;Boa Vista;Capital;56,4;63,1;63,4;57,5;53,8;51,3;55,3;43,1;19,6;55,2;66;67,2;62,8
MS;Bonito;Não capital;58,5;56,7;58,3;56,2;70,2;53,7;66,7;82,4;27,4;60,9;50,5;63,6;71,6
DF;Brasília;Capital;72,8;79;92,4;68,3;71,6;55,1;61,6;27,4;72,2;86,9;93,1;61,5;77,7
MT;Cáceres;Não capital;52,2;68,7;57;45;61,1;29,1;52,6;36,5;3,3;55,1;60;56;58
GO;Caldas Novas;Não capital;57,1;64,3;57,5;51,9;68,4;28;59,8;55,8;40,4;64,4;62,7;68;68,8
MS;Campo Grande;Capital;65,4;77,7;73,5;70,5;53,5;43,6;59,1;55,7;9,9;80,8;85;59,1;72,2
MS;Corumbá;Não capital;62,4;73,9;65,2;48,6;64;50,6;71,4;71,3;68,7;62,9;58,9;57,5;57,2
MT;Cuiabá;Capital;61,9;73,8;65,3;66,6;54;35;65;41,8;12;77,6;87,7;60,3;70,6
PR;Curitiba;Capital;80,4;89,1;82;80,9;84,2;56,1;81,3;75,4;71,6;87,1;92,7;79,5;93,4
MG;Diamantina;Não capital;62,4;82,9;62,4;53,3;59,2;62,7;68,9;74,8;35,5;45,8;50,7;60;70,2
PE;Fernando de Noronha;Não capital;52,1;75,3;39,6;41,5;64,8;59,4;49,3;35,2;27,4;52,7;21,3;72,4;71,7
SC;Florianópolis;Capital;75,9;85,9;80,8;81,1;72,9;58,9;77;64,9;52,3;78,8;92,9;68,4;75,1
CE;Fortaleza;Capital;71,9;74,1;78,3;79,4;62,9;50,4;71,5;62,7;53,2;82,3;89,6;65,3;78,8
PR;Foz do Iguaçu;Não capital;76,3;77,5;73,3;78,5;86,9;88,5;70,6;66,8;80;74,8;82,7;73,3;80,9
GO;Goiânia;Capital;68,5;73;74,8;73,9;47,4;37,3;70,8;60,5;73,1;84;90,4;64;71,9
RS;Gramado;Não capital;65,4;76,1;72,1;73,1;65,3;54,3;72;38,9;26,3;75,4;61,3;68,6;67,3
SP;Ilhabela;Não capital;60,5;74,9;53,7;69;63,1;62,3;70,7;40,3;42,6;52,3;47;64,5;72,9
PE;Ipojuca;Não capital;51,8;58,7;50,2;45,4;64,4;37,5;47,3;31;43,5;75,7;48,7;46;64,5
CE;Jijoca de Jericoacoara;Não capital;45,9;44,3;43,2;45,6;53,3;51,3;43,4;63,2;19,3;34,7;24;64,9;66,4
PB;João Pessoa;Capital;71,4;79,9;68;70,3;61,2;83,1;70,3;29,9;68;75,3;94;64,1;78,1
BA;Lençóis;Não capital;52,9;64,1;54,9;42,5;61,2;42,1;56,8;68,5;47,5;40,7;31,6;49,5;68,1
AP;Macapá;Capital;53,6;58,8;61,6;49,7;53,6;31,1;55,1;54,9;10,3;56,2;66,6;51,7;71,1
AL;Maceió;Capital;65,7;75;70,4;77,1;56,6;48,5;62,7;35;34,3;70,9;83,3;65,5;75,3
AM;Manaus;Capital;67,9;69;78,5;77,1;75,7;50,9;50,2;31,2;27,7;83,4;92,3;65,9;76,6
AL;Maragogi;Não capital;45,5;47,1;33,2;43,7;59,5;40,8;54,5;51,2;14,6;43,6;33,6;54,1;65,4
BA;Maraú;Não capital;41,1;41,8;24,8;32,8;49,3;41,8;60,6;67,9;0;45,7;26,1;46,9;47,6
BA;Mata de São João;Não capital;56;56,5;60,9;43,3;68;56;54,2;55,9;25,2;62,1;33,4;67,5;75,1
TO;Mateiros;Não capital;32,8;31,1;24,9;19;59,5;28,8;31,7;21,8;9;48,4;15,7;38,7;52,3
RN;Natal;Capital;65,7;83,2;76,4;74,1;57,2;44,3;57;55,9;19,7;70,8;90,6;53,5;81,2
CE;Nova Olinda;Não capital;44,4;58;35,3;35,2;55,1;45,2;37,8;72,1;17,4;47,1;17,4;41,3;58,9
MG;Ouro Preto;Não capital;69,3;71,3;56,5;61,2;74,4;62,5;62,3;72,4;78,6;78,5;64,4;76,4;68,3
TO;Palmas;Capital;57,4;72,5;63,4;65,3;47,4;33,7;50,4;37;19,1;62,5;69,2;57,7;82,5
PR;Paranaguá;Não capital;66,7;71,8;61,5;62,1;64,1;46,5;71,9;77,8;74,4;68;61,4;65,8;77,6
RJ;Paraty;Não capital;52,2;52,2;56,4;40,9;68,9;43,7;55,8;36;23,9;56,4;49,4;49,6;52,4
AM;Parintins;Não capital;43,4;49,9;36,7;45,1;66,8;28,7;51,9;13,1;9,8;46,1;43,6;53,9;45,9
PI;Parnaíba;Não capital;45,2;58,3;55,5;42,4;50,2;19,1;43,5;44,7;0;46,7;46,8;43,4;60,3
RJ;Petrópolis;Não capital;70,5;70,4;75,8;62,4;74,9;59,2;68,1;58,4;58,4;78,9;66,8;81,1;82,6
GO;Pirenópolis;Não capital;53,6;58,2;48,2;54,3;62,1;41,3;60,2;51,4;41;50,5;31,8;60,3;54,8
RS;Porto Alegre;Capital;81;83,5;91,6;83,4;66,5;90,1;78,4;40,2;66,1;92,5;94,7;78,3;82,5
BA;Porto Seguro;Não capital;58,9;58,4;66,8;65,9;58;52,9;64,8;62,1;23,8;50,9;68;55,9;67,3
RO;Porto Velho;Capital;52;61,5;60,9;46,9;46,5;24;55,2;14,2;37,6;59,2;76;53,7;56,1
PE;Recife;Capital;77,2;79,5;83,4;83,2;79,1;70,6;70,6;49,1;61,6;81,8;93,2;67,2;75,6
AC;Rio Branco;Capital;56,4;65,1;66,9;62,4;56,4;28,3;46,3;49,4;3,7;68,1;71,3;55,6;72,1
RJ;Rio de Janeiro;Capital;81,1;84;92,1;89,9;85;58,7;67,6;55,2;62,2;95,2;96;69,9;84,6
BA;Salvador;Capital;77;81,3;87,7;81,5;79;52,3;67,7;59,4;63,4;80,7;89,2;70,7;78,2
PA;Santarém;Não capital;57,5;52,2;65,5;48,5;57,9;52,2;65,8;53,1;78;50,4;68,3;53,4;42,9
SC;São Joaquim;Não capital;48,4;69,8;60,8;31,6;58,6;40,5;50,7;46,9;11,3;61,4;34,1;50,1;41,1
MA;São Luís;Capital;68,6;82,8;65,2;67,2;53,9;70,7;57,7;41;50,4;77,5;91,3;68;72,5
SP;São Paulo;Capital;83,2;84,1;94;92,5;86;86,5;80,1;32,7;86,1;95,3;94,9;71,5;77,6
PI;São Raimundo Nonato;Não capital;40,6;58,4;33,7;40,2;76,8;21,6;9,7;17,6;9,4;40,1;35,9;47;58,2
PI;Teresina;Capital;59,9;63,1;67;59,8;63,5;45,2;61,4;30,4;26,9;72,7;80,2;56,1;67,4
RN;Tibau do Sul;Não capital;43,1;49,2;50;41,7;51,2;28,5;43,4;45,5;15,7;45,7;14,9;50,3;66,5
MG;Tiradentes;Não capital;52,8;64,2;59;40,1;62,8;32,3;36,7;82,7;22,3;54,4;27,6;60,3;69,7
ES;Vitória;Capital;75,2;85;71,3;69,2;61,9;60,6;66,6;71,1;73,7;89,1;93,1;72,8;80,4
