,cod_mun,municipio,estado,data,novos_casos,casos_total
0,3550308,São Paulo,SP,2020-02-25,1,1
2,3550308,São Paulo,SP,2020-02-29,1,2
4,3550308,São Paulo,SP,2020-03-04,1,3
6,3550308,São Paulo,SP,2020-03-05,3,6
7,3300407,Barra Mansa,RJ,2020-03-05,1,1
8,3205200,Vila Velha,ES,2020-03-05,1,1
10,3550308,São Paulo,SP,2020-03-06,4,10
11,2910800,Feira de Santana,BA,2020-03-06,1,1
12,3300407,Barra Mansa,RJ,2020-03-06,0,1
13,3205200,Vila Velha,ES,2020-03-06,0,1
15,3550308,São Paulo,SP,2020-03-07,3,13
16,2910800,Feira de Santana,BA,2020-03-07,1,2
17,3304557,Rio de Janeiro,RJ,2020-03-07,1,1
18,5300108,Brasília,DF,2020-03-07,1,1
19,3300407,Barra Mansa,RJ,2020-03-07,0,1
20,3205200,Vila Velha,ES,2020-03-07,0,1
22,3550308,São Paulo,SP,2020-03-08,2,15
23,3304557,Rio de Janeiro,RJ,2020-03-08,1,2
24,2704302,Maceió,AL,2020-03-08,1,1
25,3547304,Santana de Parnaíba,SP,2020-03-08,1,1
26,3122306,Divinópolis,MG,2020-03-08,1,1
27,3300407,Barra Mansa,RJ,2020-03-08,0,1
28,3205200,Vila Velha,ES,2020-03-08,0,1
29,2910800,Feira de Santana,BA,2020-03-08,0,2
30,5300108,Brasília,DF,2020-03-08,0,1
32,3304557,Rio de Janeiro,RJ,2020-03-09,4,6
33,3303302,Niterói,RJ,2020-03-09,1,1
34,3550308,São Paulo,SP,2020-03-09,0,15
35,3300407,Barra Mansa,RJ,2020-03-09,0,1
36,3205200,Vila Velha,ES,2020-03-09,0,1
37,2910800,Feira de Santana,BA,2020-03-09,0,2
38,5300108,Brasília,DF,2020-03-09,0,1
39,2704302,Maceió,AL,2020-03-09,0,1
40,3547304,Santana de Parnaíba,SP,2020-03-09,0,1
41,3122306,Divinópolis,MG,2020-03-09,0,1
43,3550308,São Paulo,SP,2020-03-10,3,18
44,5300108,Brasília,DF,2020-03-10,1,2
45,4303905,Campo Bom,RS,2020-03-10,1,1
46,3300407,Barra Mansa,RJ,2020-03-10,0,1
47,3205200,Vila Velha,ES,2020-03-10,0,1
48,2910800,Feira de Santana,BA,2020-03-10,0,2
49,3304557,Rio de Janeiro,RJ,2020-03-10,0,6
50,2704302,Maceió,AL,2020-03-10,0,1
51,3547304,Santana de Parnaíba,SP,2020-03-10,0,1
52,3122306,Divinópolis,MG,2020-03-10,0,1
53,3303302,Niterói,RJ,2020-03-10,0,1
55,3550308,São Paulo,SP,2020-03-11,26,44
56,2910800,Feira de Santana,BA,2020-03-11,1,3
57,3304557,Rio de Janeiro,RJ,2020-03-11,6,12
58,4314902,Porto Alegre,RS,2020-03-11,1,1
59,3300407,Barra Mansa,RJ,2020-03-11,0,1
60,3205200,Vila Velha,ES,2020-03-11,0,1
61,5300108,Brasília,DF,2020-03-11,0,2
62,2704302,Maceió,AL,2020-03-11,0,1
63,3547304,Santana de Parnaíba,SP,2020-03-11,0,1
64,3122306,Divinópolis,MG,2020-03-11,0,1
65,3303302,Niterói,RJ,2020-03-11,0,1
66,4303905,Campo Bom,RS,2020-03-11,0,1
68,3550308,São Paulo,SP,2020-03-12,18,62
69,3205200,Vila Velha,ES,2020-03-12,1,2
70,3304557,Rio de Janeiro,RJ,2020-03-12,2,14
71,5300108,Brasília,DF,2020-03-12,1,3
72,4314902,Porto Alegre,RS,2020-03-12,1,2
73,2611606,Recife,PE,2020-03-12,2,2
74,4305108,Caxias do Sul,RS,2020-03-12,1,1
75,4106902,Curitiba,PR,2020-03-12,5,5
76,4105508,Cianorte,PR,2020-03-12,1,1
77,3515707,Ferraz de Vasconcelos,SP,2020-03-12,1,1
78,4205407,Florianópolis,SC,2020-03-12,2,2
79,3131307,Ipatinga,MG,2020-03-12,1,1
80,5218805,Rio Verde,GO,2020-03-12,1,1
81,5208707,Goiânia,GO,2020-03-12,2,2
82,2408102,Natal,RN,2020-03-12,1,1
83,3300407,Barra Mansa,RJ,2020-03-12,0,1
84,2910800,Feira de Santana,BA,2020-03-12,0,3
85,2704302,Maceió,AL,2020-03-12,0,1
86,3547304,Santana de Parnaíba,SP,2020-03-12,0,1
87,3122306,Divinópolis,MG,2020-03-12,0,1
88,3303302,Niterói,RJ,2020-03-12,0,1
89,4303905,Campo Bom,RS,2020-03-12,0,1
91,2910800,Feira de Santana,BA,2020-03-13,1,4
92,3304557,Rio de Janeiro,RJ,2020-03-13,3,17
93,4314902,Porto Alegre,RS,2020-03-13,2,4
94,2927408,Salvador,BA,2020-03-13,3,3
95,1302603,Manaus,AM,2020-03-13,1,1
96,4209102,Joinville,SC,2020-03-13,1,1
97,3550308,São Paulo,SP,2020-03-13,0,62
98,3300407,Barra Mansa,RJ,2020-03-13,0,1
99,3205200,Vila Velha,ES,2020-03-13,0,2
100,5300108,Brasília,DF,2020-03-13,0,3
101,2704302,Maceió,AL,2020-03-13,0,1
102,3547304,Santana de Parnaíba,SP,2020-03-13,0,1
103,3122306,Divinópolis,MG,2020-03-13,0,1
104,3303302,Niterói,RJ,2020-03-13,0,1
105,4303905,Campo Bom,RS,2020-03-13,0,1
106,2611606,Recife,PE,2020-03-13,0,2
107,4305108,Caxias do Sul,RS,2020-03-13,0,1
108,4106902,Curitiba,PR,2020-03-13,0,5
109,4105508,Cianorte,PR,2020-03-13,0,1
110,3515707,Ferraz de Vasconcelos,SP,2020-03-13,0,1
111,4205407,Florianópolis,SC,2020-03-13,0,2
112,3131307,Ipatinga,MG,2020-03-13,0,1
113,5218805,Rio Verde,GO,2020-03-13,0,1
114,5208707,Goiânia,GO,2020-03-13,0,2
115,2408102,Natal,RN,2020-03-13,0,1
117,3304557,Rio de Janeiro,RJ,2020-03-14,5,22
118,5300108,Brasília,DF,2020-03-14,5,8
119,4314902,Porto Alegre,RS,2020-03-14,1,5
120,2611606,Recife,PE,2020-03-14,4,6
121,5208707,Goiânia,GO,2020-03-14,1,3
122,4214300,Rancho Queimado,SC,2020-03-14,2,2
123,26,ESTRANGEIRO,PE,2020-03-14,1,1
124,5002704,Campo Grande,MS,2020-03-14,2,2
125,3136702,Juiz de Fora,MG,2020-03-14,1,1
126,3148103,Patrocínio,MG,2020-03-14,1,1
127,2800308,Aracaju,SE,2020-03-14,1,1
128,3203205,Linhares,ES,2020-03-14,1,1
129,3205309,Vitória,ES,2020-03-14,1,1
130,3510609,Carapicuíba,SP,2020-03-14,1,1
131,3550308,São Paulo,SP,2020-03-14,0,62
132,3300407,Barra Mansa,RJ,2020-03-14,0,1
133,3205200,Vila Velha,ES,2020-03-14,0,2
134,2910800,Feira de Santana,BA,2020-03-14,0,4
135,2704302,Maceió,AL,2020-03-14,0,1
136,3547304,Santana de Parnaíba,SP,2020-03-14,0,1
137,3122306,Divinópolis,MG,2020-03-14,0,1
138,3303302,Niterói,RJ,2020-03-14,0,1
139,4303905,Campo Bom,RS,2020-03-14,0,1
140,4305108,Caxias do Sul,RS,2020-03-14,0,1
141,4106902,Curitiba,PR,2020-03-14,0,5
142,4105508,Cianorte,PR,2020-03-14,0,1
143,3515707,Ferraz de Vasconcelos,SP,2020-03-14,0,1
144,4205407,Florianópolis,SC,2020-03-14,0,2
145,3131307,Ipatinga,MG,2020-03-14,0,1
146,5218805,Rio Verde,GO,2020-03-14,0,1
147,2408102,Natal,RN,2020-03-14,0,1
148,2927408,Salvador,BA,2020-03-14,0,3
149,1302603,Manaus,AM,2020-03-14,0,1
150,4209102,Joinville,SC,2020-03-14,0,1
152,3550308,São Paulo,SP,2020-03-15,69,131
153,2910800,Feira de Santana,BA,2020-03-15,1,5
154,5300108,Brasília,DF,2020-03-15,6,14
155,2611606,Recife,PE,2020-03-15,1,7
156,2927408,Salvador,BA,2020-03-15,1,4
157,4202800,Braço do Norte,SC,2020-03-15,1,1
158,3548708,São Bernardo do Campo,SP,2020-03-15,1,1
159,3548807,São Caetano do Sul,SP,2020-03-15,1,1
160,2304400,Fortaleza,CE,2020-03-15,3,3
161,3300407,Barra Mansa,RJ,2020-03-15,0,1
162,3205200,Vila Velha,ES,2020-03-15,0,2
163,3304557,Rio de Janeiro,RJ,2020-03-15,0,22
164,2704302,Maceió,AL,2020-03-15,0,1
165,3547304,Santana de Parnaíba,SP,2020-03-15,0,1
166,3122306,Divinópolis,MG,2020-03-15,0,1
167,3303302,Niterói,RJ,2020-03-15,0,1
168,4303905,Campo Bom,RS,2020-03-15,0,1
169,4314902,Porto Alegre,RS,2020-03-15,0,5
170,4305108,Caxias do Sul,RS,2020-03-15,0,1
171,4106902,Curitiba,PR,2020-03-15,0,5
172,4105508,Cianorte,PR,2020-03-15,0,1
173,3515707,Ferraz de Vasconcelos,SP,2020-03-15,0,1
174,4205407,Florianópolis,SC,2020-03-15,0,2
175,3131307,Ipatinga,MG,2020-03-15,0,1
176,5218805,Rio Verde,GO,2020-03-15,0,1
177,5208707,Goiânia,GO,2020-03-15,0,3
178,2408102,Natal,RN,2020-03-15,0,1
179,1302603,Manaus,AM,2020-03-15,0,1
180,4209102,Joinville,SC,2020-03-15,0,1
181,4214300,Rancho Queimado,SC,2020-03-15,0,2
182,26,ESTRANGEIRO,PE,2020-03-15,0,1
183,5002704,Campo Grande,MS,2020-03-15,0,2
184,3136702,Juiz de Fora,MG,2020-03-15,0,1
185,3148103,Patrocínio,MG,2020-03-15,0,1
186,2800308,Aracaju,SE,2020-03-15,0,1
187,3203205,Linhares,ES,2020-03-15,0,1
188,3205309,Vitória,ES,2020-03-15,0,1
189,3510609,Carapicuíba,SP,2020-03-15,0,1
191,3550308,São Paulo,SP,2020-03-16,14,145
192,3205200,Vila Velha,ES,2020-03-16,4,6
193,3304557,Rio de Janeiro,RJ,2020-03-16,7,29
194,5300108,Brasília,DF,2020-03-16,5,19
195,4314902,Porto Alegre,RS,2020-03-16,3,8
196,2611606,Recife,PE,2020-03-16,6,13
197,4305108,Caxias do Sul,RS,2020-03-16,1,2
198,4106902,Curitiba,PR,2020-03-16,2,7
199,4205407,Florianópolis,SC,2020-03-16,1,3
200,5218805,Rio Verde,GO,2020-03-16,1,2
201,5208707,Goiânia,GO,2020-03-16,2,5
202,26,ESTRANGEIRO,PE,2020-03-16,2,3
203,5002704,Campo Grande,MS,2020-03-16,2,4
204,3136702,Juiz de Fora,MG,2020-03-16,1,2
205,2800308,Aracaju,SE,2020-03-16,4,5
206,3548708,São Bernardo do Campo,SP,2020-03-16,1,2
207,2304400,Fortaleza,CE,2020-03-16,5,8
208,3119401,Coronel Fabriciano,MG,2020-03-16,1,1
209,3529401,Mauá,SP,2020-03-16,1,1
210,2301000,Aquiraz,CE,2020-03-16,1,1
211,3106200,Belo Horizonte,MG,2020-03-16,1,1
212,5201108,Anápolis,GO,2020-03-16,2,2
213,2925303,Porto Seguro,BA,2020-03-16,1,1
214,2601706,Belo Jardim,PE,2020-03-16,1,1
215,2607901,Jaboatão dos Guararapes,PE,2020-03-16,1,1
216,3300407,Barra Mansa,RJ,2020-03-16,0,1
217,2910800,Feira de Santana,BA,2020-03-16,0,5
218,2704302,Maceió,AL,2020-03-16,0,1
219,3547304,Santana de Parnaíba,SP,2020-03-16,0,1
220,3122306,Divinópolis,MG,2020-03-16,0,1
221,3303302,Niterói,RJ,2020-03-16,0,1
222,4303905,Campo Bom,RS,2020-03-16,0,1
223,4105508,Cianorte,PR,2020-03-16,0,1
224,3515707,Ferraz de Vasconcelos,SP,2020-03-16,0,1
225,3131307,Ipatinga,MG,2020-03-16,0,1
226,2408102,Natal,RN,2020-03-16,0,1
227,2927408,Salvador,BA,2020-03-16,0,4
228,1302603,Manaus,AM,2020-03-16,0,1
229,4209102,Joinville,SC,2020-03-16,0,1
230,4214300,Rancho Queimado,SC,2020-03-16,0,2
231,3148103,Patrocínio,MG,2020-03-16,0,1
232,3203205,Linhares,ES,2020-03-16,0,1
233,3205309,Vitória,ES,2020-03-16,0,1
234,3510609,Carapicuíba,SP,2020-03-16,0,1
235,4202800,Braço do Norte,SC,2020-03-16,0,1
236,3548807,São Caetano do Sul,SP,2020-03-16,0,1
238,3550308,São Paulo,SP,2020-03-17,11,156
239,3304557,Rio de Janeiro,RJ,2020-03-17,3,32
240,5300108,Brasília,DF,2020-03-17,7,26
241,3303302,Niterói,RJ,2020-03-17,5,6
242,4314902,Porto Alegre,RS,2020-03-17,8,16
243,2611606,Recife,PE,2020-03-17,1,14
244,4105508,Cianorte,PR,2020-03-17,1,2
245,5218805,Rio Verde,GO,2020-03-17,1,3
246,2927408,Salvador,BA,2020-03-17,3,7
247,1302603,Manaus,AM,2020-03-17,1,2
248,5002704,Campo Grande,MS,2020-03-17,2,6
249,2304400,Fortaleza,CE,2020-03-17,2,10
250,3106200,Belo Horizonte,MG,2020-03-17,4,5
251,2925303,Porto Seguro,BA,2020-03-17,2,3
252,2925501,Prado,BA,2020-03-17,1,1
253,1200401,Rio Branco,AC,2020-03-17,3,3
254,3547809,Santo André,SP,2020-03-17,1,1
255,3144805,Nova Lima,MG,2020-03-17,1,1
256,3167202,Sete Lagoas,MG,2020-03-17,1,1
257,3170206,Uberlândia,MG,2020-03-17,1,1
258,4104204,Campo Largo,PR,2020-03-17,1,1
259,4119152,Pinhais,PR,2020-03-17,1,1
260,4113700,Londrina,PR,2020-03-17,1,1
261,3300407,Barra Mansa,RJ,2020-03-17,0,1
262,3205200,Vila Velha,ES,2020-03-17,0,6
263,2910800,Feira de Santana,BA,2020-03-17,0,5
264,2704302,Maceió,AL,2020-03-17,0,1
265,3547304,Santana de Parnaíba,SP,2020-03-17,0,1
266,3122306,Divinópolis,MG,2020-03-17,0,1
267,4303905,Campo Bom,RS,2020-03-17,0,1
268,4305108,Caxias do Sul,RS,2020-03-17,0,2
269,4106902,Curitiba,PR,2020-03-17,0,7
270,3515707,Ferraz de Vasconcelos,SP,2020-03-17,0,1
271,4205407,Florianópolis,SC,2020-03-17,0,3
272,3131307,Ipatinga,MG,2020-03-17,0,1
273,5208707,Goiânia,GO,2020-03-17,0,5
274,2408102,Natal,RN,2020-03-17,0,1
275,4209102,Joinville,SC,2020-03-17,0,1
276,4214300,Rancho Queimado,SC,2020-03-17,0,2
277,26,ESTRANGEIRO,PE,2020-03-17,0,3
278,3136702,Juiz de Fora,MG,2020-03-17,0,2
279,3148103,Patrocínio,MG,2020-03-17,0,1
280,2800308,Aracaju,SE,2020-03-17,0,5
281,3203205,Linhares,ES,2020-03-17,0,1
282,3205309,Vitória,ES,2020-03-17,0,1
283,3510609,Carapicuíba,SP,2020-03-17,0,1
284,4202800,Braço do Norte,SC,2020-03-17,0,1
285,3548708,São Bernardo do Campo,SP,2020-03-17,0,2
286,3548807,São Caetano do Sul,SP,2020-03-17,0,1
287,3119401,Coronel Fabriciano,MG,2020-03-17,0,1
288,3529401,Mauá,SP,2020-03-17,0,1
289,2301000,Aquiraz,CE,2020-03-17,0,1
290,5201108,Anápolis,GO,2020-03-17,0,2
291,2601706,Belo Jardim,PE,2020-03-17,0,1
292,2607901,Jaboatão dos Guararapes,PE,2020-03-17,0,1
294,3550308,São Paulo,SP,2020-03-18,72,228
295,3205200,Vila Velha,ES,2020-03-18,1,7
296,3304557,Rio de Janeiro,RJ,2020-03-18,23,55
297,5300108,Brasília,DF,2020-03-18,10,36
298,4303905,Campo Bom,RS,2020-03-18,1,2
299,4314902,Porto Alegre,RS,2020-03-18,5,21
300,2611606,Recife,PE,2020-03-18,3,17
301,4205407,Florianópolis,SC,2020-03-18,2,5
302,2927408,Salvador,BA,2020-03-18,10,17
303,5002704,Campo Grande,MS,2020-03-18,1,7
304,3205309,Vitória,ES,2020-03-18,2,3
305,4202800,Braço do Norte,SC,2020-03-18,1,2
306,3548708,São Bernardo do Campo,SP,2020-03-18,1,3
307,2304400,Fortaleza,CE,2020-03-18,8,18
308,3106200,Belo Horizonte,MG,2020-03-18,5,10
309,2925303,Porto Seguro,BA,2020-03-18,1,4
310,3547809,Santo André,SP,2020-03-18,1,2
311,1721000,Palmas,TO,2020-03-18,1,1
312,5211909,Jataí,GO,2020-03-18,1,1
313,5201405,Aparecida de Goiânia,GO,2020-03-18,1,1
314,4202008,Balneário Camboriú,SC,2020-03-18,2,2
315,4115200,Maringá,PR,2020-03-18,1,1
316,4108304,Foz do Iguaçu,PR,2020-03-18,1,1
317,1501402,Belém,PA,2020-03-18,1,1
318,2805703,Propriá,SE,2020-03-18,1,1
319,2507507,João Pessoa,PB,2020-03-18,1,1
320,3301850,Guapimirim,RJ,2020-03-18,1,1
321,3524709,Jaguariúna,SP,2020-03-18,1,1
322,3549805,São José do Rio Preto,SP,2020-03-18,1,1
323,3509502,Campinas,SP,2020-03-18,1,1
324,3518800,Guarulhos,SP,2020-03-18,1,1
325,3505708,Barueri,SP,2020-03-18,1,1
326,3513009,Cotia,SP,2020-03-18,1,1
327,3170107,Uberaba,MG,2020-03-18,1,1
328,4218707,Tubarão,SC,2020-03-18,1,1
329,42,ESTRANGEIRO,SC,2020-03-18,2,2
330,2312908,Sobral,CE,2020-03-18,1,1
331,4320404,Serafina Corrêa,RS,2020-03-18,1,1
332,4321501,Torres,RS,2020-03-18,1,1
333,4307906,Farroupilha,RS,2020-03-18,1,1
334,3300407,Barra Mansa,RJ,2020-03-18,0,1
335,2910800,Feira de Santana,BA,2020-03-18,0,5
336,2704302,Maceió,AL,2020-03-18,0,1
337,3547304,Santana de Parnaíba,SP,2020-03-18,0,1
338,3122306,Divinópolis,MG,2020-03-18,0,1
339,3303302,Niterói,RJ,2020-03-18,0,6
340,4305108,Caxias do Sul,RS,2020-03-18,0,2
341,4106902,Curitiba,PR,2020-03-18,0,7
342,4105508,Cianorte,PR,2020-03-18,0,2
343,3515707,Ferraz de Vasconcelos,SP,2020-03-18,0,1
344,3131307,Ipatinga,MG,2020-03-18,0,1
345,5218805,Rio Verde,GO,2020-03-18,0,3
346,5208707,Goiânia,GO,2020-03-18,0,5
347,2408102,Natal,RN,2020-03-18,0,1
348,1302603,Manaus,AM,2020-03-18,0,2
349,4209102,Joinville,SC,2020-03-18,0,1
350,4214300,Rancho Queimado,SC,2020-03-18,0,2
351,26,ESTRANGEIRO,PE,2020-03-18,0,3
352,3136702,Juiz de Fora,MG,2020-03-18,0,2
353,3148103,Patrocínio,MG,2020-03-18,0,1
354,2800308,Aracaju,SE,2020-03-18,0,5
355,3203205,Linhares,ES,2020-03-18,0,1
356,3510609,Carapicuíba,SP,2020-03-18,0,1
357,3548807,São Caetano do Sul,SP,2020-03-18,0,1
358,3119401,Coronel Fabriciano,MG,2020-03-18,0,1
359,3529401,Mauá,SP,2020-03-18,0,1
360,2301000,Aquiraz,CE,2020-03-18,0,1
361,5201108,Anápolis,GO,2020-03-18,0,2
362,2601706,Belo Jardim,PE,2020-03-18,0,1
363,2607901,Jaboatão dos Guararapes,PE,2020-03-18,0,1
364,2925501,Prado,BA,2020-03-18,0,1
365,1200401,Rio Branco,AC,2020-03-18,0,3
366,3144805,Nova Lima,MG,2020-03-18,0,1
367,3167202,Sete Lagoas,MG,2020-03-18,0,1
368,3170206,Uberlândia,MG,2020-03-18,0,1
369,4104204,Campo Largo,PR,2020-03-18,0,1
370,4119152,Pinhais,PR,2020-03-18,0,1
371,4113700,Londrina,PR,2020-03-18,0,1
373,3550308,São Paulo,SP,2020-03-19,39,267
374,3304557,Rio de Janeiro,RJ,2020-03-19,1,56
375,5300108,Brasília,DF,2020-03-19,48,84
376,2704302,Maceió,AL,2020-03-19,3,4
377,3303302,Niterói,RJ,2020-03-19,1,7
378,4314902,Porto Alegre,RS,2020-03-19,2,23
379,2611606,Recife,PE,2020-03-19,6,23
380,4106902,Curitiba,PR,2020-03-19,9,16
381,4205407,Florianópolis,SC,2020-03-19,1,6
382,5208707,Goiânia,GO,2020-03-19,3,8
383,2927408,Salvador,BA,2020-03-19,1,18
384,1302603,Manaus,AM,2020-03-19,1,3
385,4209102,Joinville,SC,2020-03-19,1,2
386,5002704,Campo Grande,MS,2020-03-19,1,8
387,3205309,Vitória,ES,2020-03-19,2,5
388,3510609,Carapicuíba,SP,2020-03-19,1,2
389,4202800,Braço do Norte,SC,2020-03-19,2,4
390,2304400,Fortaleza,CE,2020-03-19,4,22
391,3106200,Belo Horizonte,MG,2020-03-19,8,18
392,1200401,Rio Branco,AC,2020-03-19,1,4
393,3144805,Nova Lima,MG,2020-03-19,1,2
394,4202008,Balneário Camboriú,SC,2020-03-19,2,4
395,3513009,Cotia,SP,2020-03-19,1,2
396,4320404,Serafina Corrêa,RS,2020-03-19,1,2
397,4216602,São José,SC,2020-03-19,1,1
398,5007901,Sidrolândia,MS,2020-03-19,1,1
399,2919207,Lauro de Freitas,BA,2020-03-19,2,2
400,2914802,Itabuna,BA,2020-03-19,1,1
401,3302908,Miguel Pereira,RJ,2020-03-19,1,1
402,4301602,Bagé,RS,2020-03-19,2,2
403,4300604,Alvorada,RS,2020-03-19,1,1
404,4307005,Erechim,RS,2020-03-19,2,2
405,4317103,Sant'Ana do Livramento,RS,2020-03-19,1,1
406,2211001,Teresina,PI,2020-03-19,3,3
407,3554102,Taubaté,SP,2020-03-19,1,1
408,3552502,Suzano,SP,2020-03-19,1,1
409,1100122,Ji-Paraná,RO,2020-03-19,1,1
410,2307304,Juazeiro do Norte,CE,2020-03-19,1,1
411,3300407,Barra Mansa,RJ,2020-03-19,0,1
412,3205200,Vila Velha,ES,2020-03-19,0,7
413,2910800,Feira de Santana,BA,2020-03-19,0,5
414,3547304,Santana de Parnaíba,SP,2020-03-19,0,1
415,3122306,Divinópolis,MG,2020-03-19,0,1
416,4303905,Campo Bom,RS,2020-03-19,0,2
417,4305108,Caxias do Sul,RS,2020-03-19,0,2
418,4105508,Cianorte,PR,2020-03-19,0,2
419,3515707,Ferraz de Vasconcelos,SP,2020-03-19,0,1
420,3131307,Ipatinga,MG,2020-03-19,0,1
421,5218805,Rio Verde,GO,2020-03-19,0,3
422,2408102,Natal,RN,2020-03-19,0,1
